Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Project lifecycle: Create a project scoped to an organisation,SCRUM-91,10119,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 11:52 PM,07/Sep/26 11:53 PM,07/Sep/26 11:52 PM,,,0,"Related to user story B1

Projects hold related work — the client's example is an ""Autonomous Driving""
project carrying several annotation and evaluation tasks. The capability
largely exists; what is missing is the organisation scoping and the proof of it.

h1. I can create a project and see it listed in my organisation.

h1. A project belongs to exactly one organisation and is visible only to that organisation's members.

h1. I can open a project and see the tasks inside it.

Scope note worth putting on the ticket: this is hardening, not net-new. The work is confirming POST /organizations/{org_id}/projects scopes to the caller's org, a test that a project in org A is invisible to org B, and making project-create-form.tsx surface real validation errors. Pairs with SCRUM-45, which does update/archive on the same object.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000jb:,,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",To Do,07/Sep/26 11:52 PM
"Organisation Management: Invite, remove and role-manage members",SCRUM-90,10118,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 11:37 PM,07/Sep/26 11:37 PM,07/Sep/26 11:37 PM,,,0,"Related to user story J3

You cannot run governed review without the people who perform it. This is the
administrator-facing capability on top of the invitation flow.

h1. I can invite a person, see pending invitations, and remove a member.

h1. I can assign and change a member's role.

h1. A role change takes effect on what that person can actually do.

Issues 17, 18
Blocked by SCRUM-8 until the invitation flow works.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000j3:,,,,,,,10046,SCRUM-18,Organisation Management,To Do,07/Sep/26 11:37 PM
Project: Overview of status and progress,SCRUM-89,10117,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 11:36 PM,07/Sep/26 11:36 PM,07/Sep/26 11:36 PM,,,0,"Related to user story J2

A starting point, not an analytics product.

h1. Shows project status, item counts by state and basic workflow statistics.

h1. Figures agree with the task and export screens.

h1. Deliberately limited — the client asked that time not be spent making this comprehensive.

The one that will actually take effort is criterion 2: the figures have to reconcile with SCRUM-43 (B6/H5, aligning task completion and export readiness). Don't start this before SCRUM-43 settles the counting rule, or you'll implement it twice.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000iv:,,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",To Do,07/Sep/26 11:36 PM
Organisation Management: Stable organisation identifier and URL,SCRUM-88,10116,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 11:35 PM,07/Sep/26 11:35 PM,07/Sep/26 11:35 PM,,,0,"Related to user story J1

The client's one concrete requirement in this area is being able to refer to an
organisation unambiguously.

h1. Each organisation has a unique identifier and URL that do not change.

h1. An organisation can hold multiple accounts and use cases.

Keep it small — the backlog explicitly says so.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000in:,,,,,,,10046,SCRUM-18,Organisation Management,To Do,07/Sep/26 11:35 PM
Annotation: Configurable AI suggestion visibility,SCRUM-87,10115,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 11:34 PM,07/Sep/26 11:34 PM,07/Sep/26 11:34 PM,,,0,"Related to user story C4

Seeing the machine's answer first changes the answer people give. The code has
two modes; the client brief requires three.

h1. I can select human-only, AI-first, or blind-then-reveal when setting up a task.

h1. In blind-then-reveal the reviewer cannot see the AI suggestion until their own answer is recorded.

h1. The mode in force is recorded against the item, so results from different modes can be compared later.

Test that the suggestion is absent from the API response before the human commits, not merely hidden in the UI. SCRUM-73 (I4, ""measure what AI assistance does to human judgement"") cannot produce a result unless this records the mode — worth linking them.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000if:,,,,,,,10041,SCRUM-13,Annotation & Human Judgement,To Do,07/Sep/26 11:34 PM
Review: Prevent self-review of own annotations,SCRUM-86,10114,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 11:33 PM,07/Sep/26 11:35 PM,07/Sep/26 11:33 PM,,,0,"Related to user story D1

review_actions.py:206 checks organisation membership only, so an annotator can
approve their own work. A review one person can perform on their own output is
not a review, and any dataset built on it is indefensible.

h1. Attempting to review my own annotation is refused, with an explanation rather than a bare 403.

h1. Only users holding a reviewer or expert role can perform review actions at all.

h1. The same restriction applies to dispute decisions, not only first-line review.

Issue 7",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000i7:,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,07/Sep/26 11:33 PM
Task lifecycle: Create annotation and judgement tasks with a result shape,SCRUM-85,10113,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 11:31 PM,07/Sep/26 11:32 PM,07/Sep/26 11:31 PM,,,0,"Related to user story B3

The client's two task categories need different work surfaces and different
result shapes. Task creation exists; the annotation-versus-judgement
distinction and the result shape do not.



I can create a task under a project, choosing annotation or judgement and the task type.



The task records what a finished result should look like — labels for annotation, verdict plus reasoning for judgement.



Text tasks work end to end; image and video tasks can be created without breaking, but are not committed demo paths this phase.



The real work here is label_schema_ref: today it's a string pointer nothing reads, and it has to resolve to an actual result shape. Borrow the MVP's SchemaMerger idea but map fields explicitly rather than asking a model to infer them. Blocks SCRUM-24 (B4, lifecycle transitions) from being meaningful.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000hz:,,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",To Do,07/Sep/26 11:31 PM
Schema: Replace hardcoded credentials,SCRUM-84,10112,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 4:27 PM,09/Sep/26 6:52 PM,09/Sep/26 6:56 PM,,,0,"A4

# No live credential is readable in the source code.
# Credentials are supplied per environment and can be rotated without a code change.
# The exposed key is rotated at the provider, not merely removed from the code.

*Issue 1* (live API key hardcoded in committed source) — this story's first criterion removes it, and the rotation criterion covers the part a code fix alone can't: the key is already public in every existing clone. Depends on *A3*, since configuration must actually load before a key can be supplied any other way.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000hr:,W6,,,,,,10111,SCRUM-83,Trustworthy Foundations,In Progress,07/Sep/26 4:27 PM
Trustworthy Foundations,SCRUM-83,10111,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 4:25 PM,07/Sep/26 4:25 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,grey,0|i000hj:,,,,,,,,,,To Do,07/Sep/26 4:25 PM
Schema: Restore existing testcases,SCRUM-82,10110,Task,Done,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,Done,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 1:16 PM,07/Sep/26 4:27 PM,09/Sep/26 7:25 PM,07/Sep/26 4:25 PM,,0,"A2

# The web application's checks and test suite pass cleanly, so a broken change is caught before merge rather than after.
# Tests that claim to check something actually check it — a test named for image-annotation loading must fail if that loading breaks.
# Test setup does not imply behaviour the platform doesn't have

*Issues 12 & 13* (frontend fails typecheck; test suite failing) — this story's definition of done is a green frontend build and suite, so both are resolved by the work itself rather than tracked separately.
*Issue 25* (a frontend test passes even when the behaviour it names is broken) — replacing the placeholder assertion with a real one is exactly what “tests genuinely pass” requires here.
*Issue 26* (misleading mock setup in a backend test) — removed while making the suite trustworthy, so a future reader isn't misled about what the code does.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000hb:,W6,,,,,,10111,SCRUM-83,Trustworthy Foundations,Done,07/Sep/26 4:25 PM
