id,epic,priority,owner,name,story,acceptance_criteria,related_issues,subtasks,defects,status,allocated_to,scrum,source
A1,A,P0,Lead,Changes are reviewed before they reach the platform,"As a project manager, I want every change to the platform to be reviewed by a second person before it goes live, because the previous team's uncoordinated changes overwrote each other and I need to trust that what I'm demonstrating is what was agreed.","1. No change reaches the main branch without an approving review from someone other than its author.
2. Every change is traceable to the user story it implements.
3. Automated checks must pass before a change can be merged.","No open defects — this is the process control that stops new defects of the kind catalogued in issues.md from re-entering, which the client asked for by name at the status meeting.","1. Protect `main`: require one approving review from someone other than the author, and passing checks, before merge.
2. Add a PR template carrying the story id, the defect it closes, and how it was verified.
3. Add a CI workflow running backend pytest plus frontend typecheck and tests on every pull request.
4. Agree a branch naming convention (story/D3-reviewer-corrections) and write it into docs/team-discipline/dev-workflow.md.
5. Set a review rota so no pull request sits waiting on one person.",,dropped,,,shipped
A2,A,P0,SC,I can trust that a fix in one place hasn't broken another,"As a client, I want the platform's automated checks to genuinely pass before anything ships, because otherwise a change to the review screen can silently break annotation and nobody finds out until the demo.","1. The web application's checks and test suite pass cleanly, so a broken change is caught before merge rather than after.
2. Tests that claim to check something actually check it — a test named for image-annotation loading must fail if that loading breaks.
3. Test setup does not imply behaviour the platform doesn't have.","**Issues 12 & 13** (frontend fails typecheck; test suite failing) — this story's definition of done is a green frontend build and suite, so both are resolved by the work itself rather than tracked separately.
**Issue 25** (a frontend test passes even when the behaviour it names is broken) — replacing the placeholder assertion with a real one is exactly what “tests genuinely pass” requires here.
**Issue 26** (misleading mock setup in a backend test) — removed while making the suite trustworthy, so a future reader isn't misled about what the code does.","1. Run `npm run typecheck` in apps/hej-web and fix the TaskItemTable prop mismatch and the missing judgementSignal field (issue 12).
2. Run `npm test` in apps/hej-web and fix the annotate-payload test that has drifted from its component (issue 13).
3. Replace the placeholder assertion in the image-annotation ""hydrates from draft"" test so it fails when hydration breaks (issue 25).
4. Delete the unused mock wiring in the admin-IAM backend test that implies a DB lookup the code never makes (issue 26).
5. Wire both suites into the A1 CI workflow so a red build blocks merge.","12,13,25,26",done,Hanchen Wang,SCRUM-82,shipped
A3,A,P0,SC,I can get a working copy of the platform running by myself,"As a team member, I should be able to set up and reset a working local copy of the platform with seeded demo accounts in one step, because I can't contribute to or demonstrate a system I can't start.","1. Following the documented setup steps produces a running platform with the seeded Admin, Reviewer and Annotator accounts.
2. Resetting the demo data works repeatedly, including against an already-seeded database.
3. Configuration supplied by a team member (ports, keys, environment) is actually picked up by the platform.
4. A setup failure reports what went wrong instead of failing silently or crashing while reporting.","**Issue 24** (init_data.py --reset broken two ways) — the story requires reset to work repeatedly on a stock Windows terminal, which closes both the console-encoding crash and the foreign-key failure that currently leaves the database half-dropped.
**Issue 23** (.env config silently ignored) — “configuration is actually picked up” is the acceptance criterion, so the wrong-prefix and never-read-the-file defects both have to go for this story to pass.","1. Fix the console-encoding crash in init_data.py --reset on a stock Windows terminal, including the error handler that crashes while reporting it (issue 24).
2. Drop tables in foreign-key-safe order so --reset works repeatedly against an already-seeded database instead of half-dropping the schema (issue 24).
3. Add env_file to model_config in app/core/config.py:19 so a .env file is actually read (issue 23).
4. Correct apps/hej-api/.env.example from the DAP_ prefix to HEJ_, which is what Settings expects (issue 23).
5. Write the setup path in the README and have a second person follow it from a clean clone to seeded Admin, Reviewer and Annotator accounts.","23,24",done,"Yi Geng, Michael Max",SCRUM-81,shipped
A4,A,P0,SC,Platform credentials aren't sitting in shared code,"As an organisation administrator, I want the platform's service credentials kept out of the shared codebase, because a key that ships inside every copy of the code is a key I can't control, revoke or attribute.","1. No live credential is readable in the source code.
2. Credentials are supplied per environment and can be rotated without a code change.
3. The exposed key is rotated at the provider, not merely removed from the code.","**Issue 1** (live API key hardcoded in committed source) — this story's first criterion removes it, and the rotation criterion covers the part a code fix alone can't: the key is already public in every existing clone. Depends on **A3**, since configuration must actually load before a key can be supplied any other way.","1. Rotate the committed Gemini key at the provider — it is public in every existing clone and fork (issue 1).
2. Remove the key default from gemini_api_key in app/core/config.py:15 so a missing key fails loudly (issue 1).
3. Confirm the key is read from the environment only, and that the app starts with a clear error when it is absent.
4. Add the key names to .env.example with placeholder values and a note on where the real key lives.
5. Sequence after A3 — configuration has to load before a key can be supplied any other way.",1,done,Yi Geng,SCRUM-84,shipped
A5,A,P0,SC,A status means the same thing wherever I see it,"As a project manager, I want a status, role or result to mean one thing across every screen, the API and the export, because the same item currently has different state names in different places and I can't tell whether two screens disagree because of a bug or because they're using different words for the same thing.","1. One agreed set of task states and one agreed set of item states, used by the screens, the API and the export alike.
2. Where our design documents and the running code currently disagree, the difference is resolved deliberately and the documents updated to match what was built.
3. A state a user can see is a state the workflow can actually reach.
4. The frontend–backend contract and the AI-assistant contract are written down and reviewed before the workflow work in Epics C–H begins.","No open defects catalogued — but this is the third of the four objectives agreed with the client, and the drift is real: our design documents describe task states draft/active/paused/completed/archived and a FINALIZED item state, while the code implements draft/ready/in_review/disputed/completed and canonicalized. Our own risk register lists this drift as Risk 4 and Risk 10.
Sequenced first because **B4**, **B6**, **G4** and **H5** all resolve disagreements between screens, and doing that three separate times against three different vocabularies is how the disagreement returns.","1. Write docs/contracts/lifecycle.md: the authoritative task and task-item status sets, and the legal transitions between them.
2. Resolve the drift — docs/design says draft/active/paused/completed/archived and FINALIZED; the code says draft/ready/in_review/disputed/completed and canonicalized.
3. Split the writing by surface — one owner per contract file under docs/contracts/ — covering request and response shape, legal enum values and error codes.
4. Consolidate the contract files into docs/contracts/integration-gaps.md — this is the W6 milestone artefact.
5. Add a schema test that fails when the backend enum and the frontend lib/api/status-mapping.ts drift apart.
6. Update docs/design and docs/terminology to match what was agreed, in the same change.",,dropped,,,shipped
B1,B,P0,BE/FE,I can create a project to hold related work,"As a project manager, I want to create a project with a name, description and objective inside my organisation, because my work comes in programmes — the client's own example is an “Autonomous Driving” project holding several different annotation and evaluation tasks.","1. I can create a project and see it listed in my organisation.
2. A project belongs to exactly one organisation and is visible only to that organisation's members.
3. I can open a project and see the tasks inside it.",No open defects — the capability exists and works; it is listed because the workflow depends on it and because **J4** later extends it with lifecycle operations.,"1. Confirm POST /organizations/{org_id}/projects scopes the new project to the caller's organisation.
2. Confirm the projects list shows only projects in the caller's organisation.
3. Add a test that a project created in org A is invisible to a member of org B.
4. Check project-create-form.tsx surfaces the API's validation errors rather than a generic failure.",,done,,SCRUM-91,shipped
B2,B,P0,BE,I can decide how carefully my project's work gets reviewed,"As a project manager, I want to set how many reviewers an item needs, how many review rounds run, and what share of items get independently double-checked, because a low-risk labelling job and a safety-critical judgement task shouldn't be governed identically.","1. When creating a project or task I can set: the number of approvals required, the proportion of items requiring independent cross-review (the client's example: 30%), and what happens when reviewers disagree.
2. The settings I choose are visible on the project afterwards. Before work starts I can correct them in place; after that, a change creates a new policy version — new work follows it, and items already governed by an earlier version keep theirs.
3. The workflow actually behaves according to what I set — this is not a label recorded and ignored.","No open defects — policy settings partially exist in the data model, but nothing enforces them. Enforcement is **G2**.
**Client answer, 2026-09-21** — a policy may change after a project starts, but history must not be rewritten: raising 2 reviewers to 3 creates a new policy version, rather than making earlier items appear to have been governed by the new rule. New work follows the new version, and each item keeps the version that applied to it. This replaces freezing the policy per task.","1. Add the policy fields a manager sets: approvals required, cross-review percentage, and what happens when reviewers disagree.
2. Put them on the project and task setup forms, with the client's 30% cross-review as the worked example.
3. Show the policy in force on the project afterwards, with its version; correctable in place until the first task goes active.
4. After that, a change creates a new policy version instead of editing the current one; each item keeps the version that governed it (F2 records it on the item).
5. Stop at recording the choice faithfully — enforcement is G2.",,working,Jingwei Lin,"SCRUM-20, SCRUM-50",shipped
B3,B,P0,BE/FE,I can create a task for a specific piece of work,"As a project manager, I want to create a task stating whether it is an annotation task or a judgement task and what kind of data it covers, because the client's two task categories need different work surfaces and different result shapes.","1. I can create a task under a project, choosing annotation or judgement and the task type.
2. The task records what a finished result should look like (labels for annotation, verdict plus reasoning for judgement).
3. Text tasks are fully workable end-to-end; image and video tasks can be created without breaking, but are not committed demo paths in this phase.",No open defects — task creation exists; what's missing is the lifecycle (**B4**) and the schema/policy binding that makes it meaningful.,"1. Add the annotation-versus-judgement distinction to TaskCreate and the task form.
2. Resolve label_schema_ref into an actual result shape — today it is a string pointer nothing reads.
3. Record what a finished result looks like: labels for annotation, verdict plus reasoning for judgement.
4. Borrow the merged-schema idea from the MVP's SchemaMerger, but map fields explicitly rather than asking a model to infer them.
5. Keep image and audio task creation working without breaking; text is the committed demo path.
6. Add a test that a judgement task rejects a result with no verdict.",,done,,SCRUM-85,shipped
B4,B,P0,BE,"My task moves through real states, not just “draft”","As a project manager, I want to start a task, pause it and complete it, because right now a task stays a draft forever — which means the item list is never closed and I can never tell from the outside whether work is in progress.","1. I can move a task from draft into active work, and from active into complete.
2. Once a task is active, new items can no longer be quietly added to it mid-review.
3. The state shown on the project screen, the task screen and the export list agree with each other.","**Issue 28** (a task can never leave draft, so intake never closes) — the story's whole point is the missing activation step; adding it also makes the in_review / ready / disputed states reachable, which the export dashboard is already built around but can never currently display. issues.md flags this as needing a product decision first, so this story includes agreeing the intended path with the client.
**Issue 30** (a task or project that has items can never be deleted) — both delete endpoints fail on a foreign-key error and return 500, for any task that has had a dataset registered, even one whose items carry no annotation work. Found on 2026-09-17. It sits here because the fix has to answer a lifecycle question first: whether a task holding annotation and review history should be deletable at all, or refused with an archival path offered instead. Cascading the delete would erase the provenance the platform exists to keep.","1. Raise the intended lifecycle path and who may trigger each step with the client — issues.md flags this as a product decision.
2. Add status to TaskUpdate in app/schemas/tasks.py:61 — the field is absent, which is why a task can never leave draft (issue 28).
3. Add an activation endpoint and implement the transition table agreed in A5.
4. Close dataset intake once a task is active so items cannot be added mid-review.
5. Decide whether a task holding annotation or review history may be deleted at all, then make deletion behave accordingly — it must never return a 500 (issue 30).
6. Wire Activate / Pause / Complete into the task page, disabled with a reason when the transition is illegal.
7. Check the state agrees across the project screen, the task screen and the export list.","28,30",working,Dishank Aswal,SCRUM-24,shipped
B5,B,P0,BE,Loading a dataset either works or leaves nothing behind,"As a project manager, I want registering a batch of items to either fully succeed or fully fail, because a batch that half-loaded leaves me with a task I can't trust and no way to tell which items are real.","1. If item registration fails partway, no partial items, pointers or drafts remain.
2. I can load a task with hundreds or thousands of items — the client's example is 1,000 video recordings under one task.
3. If I try to load items at a point in the workflow that doesn't allow it, I'm told that clearly (“intake is closed for this task”), not shown a generic server error.","**Issue 16** (dataset registration isn't transactional) — “leaves nothing behind on failure” is precisely the missing all-or-nothing behaviour, so implementing this story removes the partial-state cleanup problem.
**Issue 29** (lifecycle conflicts reported as server errors) — the clear-message criterion requires the deliberate “intake closed” response to survive instead of being converted into a 500.","1. Wrap register_dataset (app/services/task_service.py:403) so pointers, items and drafts commit together or not at all (issue 16).
2. Stop the blanket except in the registration route turning the deliberate 409 into a 500 (issue 29).
3. Render ""intake is closed for this task"" on the dataset panel instead of a generic server error.
4. Move the per-item AI call out of the intake path — it runs synchronously inside registration today (see C2).
5. Test that a mid-batch failure leaves no partial pointers, items or drafts behind.
6. Load one of the 200-item fixture sets from labeling_ai_assistnat_mvp/app/data/text/ end to end.","16,29",done,"Kanishka Kathait, Dishank Aswal","SCRUM-23, SCRUM-34",shipped
