Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status category,Status category changed
Organisation Management: Invitee accepts a pending invitation; role chosen at invitation,SCRUM-115,10175,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Tim Chung,712020:2c5fbefd-b0d1-4404-a667-67013b327abe,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,26/Sep/26 10:56 PM,26/Sep/26 10:57 PM,26/Sep/26 10:59 PM,,,0,"{noformat}Related to user story J3

BACKEND AND FRONTEND

Split from SCRUM-90 on 2026-09-26 at the review of PR #28: SCRUM-90 criterion 4, plus the client's answer to Q5 (2026-09-14), which never reached SCRUM-90's description.

# An administrator chooses one or more roles when inviting. The invite form has no preselected role and cannot be sent without one; the invite API refuses a request without roles (422) and any role the administrator may not assign.
# The chosen roles are stored with the invitation, and accepting grants exactly those roles. A reissued invitation keeps them unless the administrator changes them.
# As an invitee, I see my pending invitations (GET /invitations: organisation, who invited me, when, expiry and the roles offered). Expired ones are not listed.
# I accept one from that list. Accepting is by invitation id for the signed-in invitee, who must be the invited user; the token route stays for links. Expired, removed or someone else's invitation is refused with the API's own message.
# After accepting, the organisation and its projects appear for me without signing out.
# Tests: invite without a role is refused; accept grants the invited roles; accepting someone else's invitation is refused; a web test accepts from the list.
{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i000nq:,"W8 Route work, record decision",,2.0,,,,10046,SCRUM-18,Organisation Management,To Do,26/Sep/26 10:56 PM
"Work queues: item workspace panel — independence, refusals and S10 (WEB)",SCRUM-114,10174,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,26/Sep/26 3:44 AM,26/Sep/26 3:37 PM,26/Sep/26 3:45 AM,,,0,"{noformat}Related to user story D8

FRONTEND

Split from SCRUM-93 on 2026-09-26: this ticket is the item workspace panel that an item opens in. The available-work list is SCRUM-93 (Kanishka). To keep the two branches apart, this ticket changes only components/task-item-workspace-sheet.tsx, lib/task-workspace-data.ts and lib/api/task-items.ts, and does not build the list.

# The existing ""X is annotating this item"" block is removed: several annotators per item is the rule now, each with their own draft.
# Fix S10: on a returned or rejected item, Save draft must keep what the annotator typed.
# An annotator does not see other annotators' submissions on the item before submitting their own (client answer, 2026-09-21). The API already hides them (PR #35); the panel must not show another person's draft, read-only or otherwise, and must not fall back to one when the viewer has none.
# Show the refusals the API gives, in its own words. A submission on a full item is refused (409, ""Human annotation submission limit reached for this item (2/2).""), and so is a person's submission on an AI-assisted item the AI has annotated (409). The panel must not report either as submitted, nor update the item as if it were.

S10, found in SCRUM-26's manual walkthrough: on a returned item, editing the answer and clicking Save draft reverts the editor to the previously submitted answer and saves that instead; submitting directly works. Two causes:
- selectDraftForViewer (lib/task-workspace-data.ts) prefers the viewer's submitted draft over their pending one, and after rework an item has both. Prefer the viewer's own pending draft.
- The editor's initialising effect (components/task-item-workspace-sheet.tsx) is keyed on the whole item object, so any re-render discards unsaved typing. Key it on item.id, or leave the editor alone once it is dirty.
With several annotators per item, picking the wrong draft could show another annotator's work.

Already done in PR #35, so not part of this ticket: the panel sends the submission it shows (from #34), and shows ""awaiting_other_submissions"" without marking the item approved.

Built on PR #35 (independence on reads, refusals on submit). SCRUM-113 (W9) edits this same panel afterwards.{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i0001b:wu,"W8 Route work, record decision",,1.5,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,26/Sep/26 3:44 AM
Review: choose which submission to review on a multi-annotator item (WEB),SCRUM-113,10173,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,26/Sep/26 3:33 AM,26/Sep/26 3:37 PM,26/Sep/26 3:33 AM,,,0,"{noformat}Related to user story D8, D4

FRONTEND

Split from SCRUM-93 on 2026-09-26. An item holds one submission per annotator, each reviewed on its own, and one reviewer may review every submission on an item they did not annotate (decisions of 2026-09-25). The review panel today shows one submission per item and cannot move to another.

# From a review-queue row (GET /tasks/{task_id}/work-queue/review), the reviewer sees the item's submissions that await them: awaiting_review_annotation_ids.
# The reviewer picks one. The panel opens it with GET /tasks/{task_id}/task-items/{item_id}/adjustment?annotation_id=<id>, which returns that submission's answer, its author and its own latest review.
# The decision is sent with that annotation_id, so it is recorded against the submission on screen.
# After a decision, the panel moves to the next awaiting submission on the item, or back to the queue when none is left. An accept that leaves the item open returns next_ui_status ""awaiting_other_submissions"" (already handled since PR #35).
# A reviewer who annotated the item is never offered it, and the API refuses naming a submission that is not current on the item (404). The screen needs no rule of its own for either.
# A web test: an item with two awaiting submissions; the reviewer decides on the second one, and the request carries its annotation_id.

Built on PR #35 (queue rows, per-submission review) and PR #34 (review names its annotation). Blocked by SCRUM-93, whose screens this extends.

D7 (SCRUM-51) samples items for a second review into this same per-submission review queue, so a second reviewer uses this screen too.{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i0001b:w,Mid-semester Break,,1.0,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,26/Sep/26 3:33 AM
Task lifecycle: Choose the annotation surface per task (annotation_type),SCRUM-112,10172,Task,In Review,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,24/Sep/26 4:43 PM,26/Sep/26 10:58 PM,24/Sep/26 5:00 PM,,,0,"{code:sql}Related to user story B8

BACKEND AND FRONTEND

Added 2026-09-24 from the client's answer R2-6, which accepted our proposal. Follow-on to B3 (SCRUM-85).

Today task_class, task_type and task_subtype decide the result format and which previewer and editor the draft and review pages use. Drafts and annotations already carry an annotation_type column (DraftDB, AnnotationDB), and _normalize_annotation_payload (app/api/routes/tasks.py:711) already maps results by it — but annotation_type is not a task-level setting. Subtype presets live in app/core/annotation_schemas.py and TASK_SUBTYPE_OPTIONS in components/task-create-form.tsx.

Client answer: ""The subtype can therefore become an optional starting template rather than part of the task ontology. Using a task-level annotation_type to select the compatible renderer/editor is reasonable. I would think of this as the human annotation surface / result representation, not as the task itself. A genuinely new type only needs explicit implementation when it requires a new interaction surface or different system behaviour.""

# First, an ADR in docs/adr/: annotation_type is the annotation surface, the subtype is a template. List the supported annotation types — one per editor that exists today — and the output-schema shape each accepts.
# TaskDB gains annotation_type, chosen on the task form from the supported list. Existing tasks are migrated from their current subtype so nothing changes for them.
# Backend result mapping and the frontend editor choice on the draft and review pages both read the task's annotation_type instead of task_subtype. Drafts and annotations take their annotation_type from the task.
# Subtype presets stay as optional, editable starting points for instructions and output schema. Choosing one no longer fixes the editor.
# A task whose output schema the chosen editor cannot render is refused at creation with a clear reason.
# No new editors are built here.
# Tests: a task's drafts and review page use the editor its annotation_type names; an incompatible schema is refused; a task created before the migration still opens in the editor it used before.
{code}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i000n6:,"W8 Route work, record decision",,2.0,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",In Progress,25/Sep/26 11:50 PM
Task lifecycle: Import a JSONL dataset as one item per record,SCRUM-111,10171,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,24/Sep/26 4:38 PM,26/Sep/26 10:58 PM,24/Sep/26 4:59 PM,,,0,"{noformat}Related to user story B7

ONLY BACKEND (plus the upload hint on the dataset panel)

Added 2026-09-24 from the client's follow-up answer to R1-1. Found by Yi: the text picker lists .jsonl, but upload_texts (app/api/routes/uploads.py:272) makes one task item per uploaded file — the whole file becomes one payload_preview and external_item_ref is the file name. FewNERD records had to be copied into separate .txt files by hand.

Client answer: ""Direct import of the provided JSONL datasets should be in scope. A JSONL file should not be treated as one task item. [...] each record should become an item."" And: ""The annotation target should be determined by the task/schema, not by the AI."" The model is: source record -> task/schema projection -> annotation payload. No universal data-mapping engine.

# First, an ADR in docs/adr/ (the client's required format, adr00N_short_title.md): does the task owner name the payload field (for example payload_preview.text) in the task configuration, or do supported task types ship a fixed adapter? Recommend one, with the trade-off, before coding.
# A .jsonl upload creates one task item per record, not one per file. A malformed line fails the whole upload with the line number — registration stays all-or-nothing through register_dataset (app/services/task_service.py:626, B5).
# Each item keeps its full source record for provenance. external_item_ref, split and source_record_id stay attached to the item; external_item_ref comes from the record, not the file name.
# The payload given to the annotator and sent to the AI is only the part the task defines (the projection) — never the whole record.
# gold_annotations (and any other evaluation-only field the task names) is stored but never shown in the annotate or review views and never sent to the AI. It stays available to the evaluation harness (I1, SCRUM-68/69).
# The source reference is stable enough to identify the exact source and version used — DataPointer.source_version_ref is hard-coded to ""v1"" by every upload route today (uploads.py:361 for text); record a real source version instead (client answer R2-5).
# Plain .txt uploads keep working as today: one file, one item.
# Tests with the FewNERD sample (dataset/text_dataset/fewnerd in the capstone folder, outside the repo — copy a few records into a test fixture): N records give N items; payload_preview.text is the annotation payload; gold_annotations never reaches the AI prompt or the annotator's view; a malformed line leaves nothing behind.
{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i000n5:,"W8 Route work, record decision",,2.0,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",In Progress,25/Sep/26 11:58 PM
Review: Project owner reopens a finalised item,SCRUM-110,10170,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,24/Sep/26 4:37 PM,26/Sep/26 3:50 AM,24/Sep/26 5:00 PM,,,0,"{noformat}Related to user story D9

BACKEND AND FRONTEND

Added 2026-09-24 from the client's answer R2-3. D5 (SCRUM-26, SCRUM-28) built the refusal: a finalised item refuses every new draft, edit and submission. This ticket builds the deliberate way back.

Client answer: ""The project owner may reopen a finalised item directly. [...] A reopened item returns to the normal open workflow, rather than simply resuming at the previous review step. The previous finalised answer must remain in history as a superseded version. It should never be overwritten.""

Out of scope (Hanchen's reply to the client, 2026-09-24): requests to reopen from annotators, reviewers and experts. Only the project owner reopens.

# A reopen action on a canonicalized task item, allowed only to a user holding the MANAGE_PROJECT capability (app/core/permissions.py — task_owner and admin today). Everyone else is refused on the backend with 403, not only hidden in the UI.
# The reopen requires a reason and records who reopened, when and why.
# The finalised answer is marked superseded, never edited or deleted. It stays visible in the item's history.
# The item leaves canonicalized and returns to the open workflow: it appears in the available-work list (D8, SCRUM-48/93) for new annotation, and its annotation and review requirements count afresh for the new round.
# The finalised-item guard (TaskItemFinalisedError, app/services/task_service.py:188) still refuses writes to items that are finalised; its message ""Reopening a finalised item is not available yet."" is updated to point at the reopen action.
# The reopen is recorded as a provenance event on F1's event record (SCRUM-62), not only in the activity log.
# Frontend: a Reopen button on the finalised-item view, shown to the project owner only, asking for a reason. The superseded answer is shown in the item's history.
# Tests: a reviewer's or annotator's reopen is refused; the owner's reopen keeps the old answer as superseded and makes the item claimable again; a reopen without a reason is refused.

Collaboration:
- SCRUM-99 (E3, W8): the expert's Return outcome sends an item back to the open workflow the same way (client answer R2-1). W8 sets the item back to open work directly; once this ticket lands, Return calls this path. Agree the function with Hanchen.
- SCRUM-38 (F3, W9): ""superseded"" must be the same supersession model F3 records.
{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i0001b:w3,Mid-semester Break,,1.5,,,,10041,SCRUM-13,Annotation & Human Judgement,To Do,24/Sep/26 4:37 PM
"Review: Review actions always move item status, and state cannot diverge from history",SCRUM-109,10137,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Parth,712020:31379b73-52b1-497c-adec-f657d3cf3124,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,22/Sep/26 12:32 AM,22/Sep/26 12:32 AM,22/Sep/26 5:08 PM,,,0,"{noformat}Related to user story D2

ONLY BACKEND

SCRUM-29 closed D2's first part: the legacy review writes return 410 (PR #6). D2's subtasks 2 and 4 have no code yet, so this ticket carries them.

# Every review action moves the task item to the status it implies, in the same write — no action leaves the item where it was.
# A test proves item status and review history cannot diverge: after any sequence of review actions, the item's status matches what its latest decision implies.

Same file as SCRUM-86 (review_actions.py): land after SCRUM-86, or in the same PR.
{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i0001b:wq,"W8 Route work, record decision",,1.0,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,22/Sep/26 12:32 AM
"Release: Show real releases, policy and history on the project screens",SCRUM-108,10136,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,22/Sep/26 12:15 AM,22/Sep/26 12:16 AM,22/Sep/26 12:16 AM,,,0,"{noformat}Related to user story H6

Replaces SCRUM-67 (deleted 2026-09-22 with its parent SCRUM-42). Planned for W11.

# The project export list and individual export view show real releases produced by H1.
# The project policy screen shows the policy actually in force, as set in B2, and the governance posture from G2.
# Verify rather than rebuild: the task history and setup screens already read that task's real activity.
# Figures on these screens agree with the task screen and the dashboard.

Needs H1 and H2 — there are no real releases to display until they exist.
{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i000mv:,W11,,2.0,,,,10045,SCRUM-17,Dataset Release & Export,To Do,22/Sep/26 12:15 AM
Dispute: Make the escalation posture configurable and enforced,SCRUM-107,10135,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,22/Sep/26 12:15 AM,26/Sep/26 1:13 AM,25/Sep/26 8:54 PM,,,0,"{noformat}Related to user story E5

Replaces SCRUM-60 (deleted 2026-09-22 with its parent SCRUM-36). Planned for W11, after G2.

# The escalation posture can be set when configuring a project or task.
# Where an expert gate is required, an item cannot complete without an expert decision.
# The posture in force is visible on the project.

The gate values already exist on OrganizationPolicyDB and are never enforced. Read them through SCRUM-50's resolved-policy contract (resolve_for_task), not from the policy tables directly; the enforcement itself is G2.
{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i000mn:,W11,,2.0,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,22/Sep/26 12:15 AM
Provenance: Show an item's whole timeline on one screen,SCRUM-106,10134,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,22/Sep/26 12:14 AM,22/Sep/26 12:15 AM,22/Sep/26 12:15 AM,,,0,"{noformat}Related to user story F5

Replaces SCRUM-63 (deleted 2026-09-22 with its parent SCRUM-39). Planned for W11.

# Show the item's timeline in order: annotation, reviews, disputes, adjudication.
# Each entry shows who, when and what changed.
# The timeline is reachable from the review screen without losing the reviewer's place.

Needs F1's events and shows supersession as F3 records it.
{noformat}",,Jason Wang,,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,{},,0|i000mf:,W11,,2.0,,,,10044,SCRUM-16,Provenance & Audit History,To Do,22/Sep/26 12:14 AM
